Detailed Anomaly Detection Report
===============================

Total Anomalies Detected: 62
Threshold: 0.0215

Anomalies:
Index: 0, Reconstruction Error: 0.0346
Index: 1, Reconstruction Error: 0.0333
Index: 2, Reconstruction Error: 0.0434
Index: 3, Reconstruction Error: 0.0460
Index: 4, Reconstruction Error: 0.0483
Index: 5, Reconstruction Error: 0.0479
Index: 6, Reconstruction Error: 0.0237
Index: 7, Reconstruction Error: 0.0249
Index: 8, Reconstruction Error: 0.0243
Index: 35, Reconstruction Error: 0.0260
Index: 36, Reconstruction Error: 0.0226
Index: 37, Reconstruction Error: 0.0227
Index: 38, Reconstruction Error: 0.0221
Index: 50, Reconstruction Error: 0.0218
Index: 52, Reconstruction Error: 0.0235
Index: 53, Reconstruction Error: 0.0223
Index: 54, Reconstruction Error: 0.0222
Index: 55, Reconstruction Error: 0.0223
Index: 56, Reconstruction Error: 0.0218
Index: 85, Reconstruction Error: 0.0231
Index: 87, Reconstruction Error: 0.0232
Index: 255, Reconstruction Error: 0.0235
Index: 271, Reconstruction Error: 0.0216
Index: 272, Reconstruction Error: 0.0292
Index: 278, Reconstruction Error: 0.0299
Index: 279, Reconstruction Error: 0.0232
Index: 280, Reconstruction Error: 0.0257
Index: 281, Reconstruction Error: 0.0263
Index: 282, Reconstruction Error: 0.0321
Index: 283, Reconstruction Error: 0.0347
Index: 284, Reconstruction Error: 0.0393
Index: 285, Reconstruction Error: 0.0347
Index: 286, Reconstruction Error: 0.0376
Index: 287, Reconstruction Error: 0.0317
Index: 288, Reconstruction Error: 0.0346
Index: 289, Reconstruction Error: 0.0353
Index: 290, Reconstruction Error: 0.0394
Index: 291, Reconstruction Error: 0.0412
Index: 292, Reconstruction Error: 0.0377
Index: 293, Reconstruction Error: 0.0285
Index: 294, Reconstruction Error: 0.0334
Index: 295, Reconstruction Error: 0.0332
Index: 296, Reconstruction Error: 0.0364
Index: 297, Reconstruction Error: 0.0364
Index: 298, Reconstruction Error: 0.0373
Index: 299, Reconstruction Error: 0.0396
Index: 300, Reconstruction Error: 0.0513
Index: 301, Reconstruction Error: 0.0275
Index: 302, Reconstruction Error: 0.0274
Index: 303, Reconstruction Error: 0.0283
Index: 304, Reconstruction Error: 0.0328
Index: 305, Reconstruction Error: 0.0660
Index: 306, Reconstruction Error: 0.0784
Index: 307, Reconstruction Error: 0.0685
Index: 308, Reconstruction Error: 0.0797
Index: 309, Reconstruction Error: 0.0470
Index: 1179, Reconstruction Error: 0.0256
Index: 1180, Reconstruction Error: 0.0326
Index: 1181, Reconstruction Error: 0.0327
Index: 1182, Reconstruction Error: 0.0325
Index: 1183, Reconstruction Error: 0.0324
Index: 1184, Reconstruction Error: 0.0325
